ew,Type,Nation1,Nation2,Nation3 ,Nation4,Nation5,Nation6,Nation7,Nation8,Nation9,Nation10,Nation11,Nation12,,Band1,Band2,Band3,Band4,,,,Place,State,Date,DemallieDeloria,URL,Comments
V0066,Operable,Sauk,,,,,,,,,,,,,,,,,,,,"Portage des Sioux, near St Louis",MO,09-13-1815,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/sau0120.htm,
V0067,Operable,Fox ,,,,,,,,,,,,,,,,,,,,"Portage des Sioux, near St Louis",MO,09-14-1815,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/fox0121.htm,
V0068,Operable,Iowa,,,,,,,,,,,,,,,,,,,,"Portage des Sioux, near St Louis",MO,09-16-1815,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/iow0122.htm,
V0069,Operable,Kansa,,,,,,,,,,,,,,,,,,,,"Portage des Sioux, near St Louis",MO,10-28-1815,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/kan0123.htm,
V0070,Operable,Cherokee,,,,,,,,,,,,,,,,,,,,Washington DC,DC,03-22-1816,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0124.htm,
V0071,Operable,Cherokee,,,,,,,,,,,,,,,,,,,,Washington DC,DC,03-22-1816,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0125.htm,
V0072,Operable,Sauk of the Rock River,,,,,,,,,,,,,,,,,,,,St Louis,MO,05-13-1816,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/sau0126.htm,
V0073,Operable,Eastern Sioux,,,,,,,,,,,,,,,,,,,,St Louis,MO,06-01-1816,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/sio0128.htm,
V0074,Operable,Winnebago,,,,,,,,,,,,,,,,,,,,St Louis,MO,06-03-1816,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/win0130.htm,
V0075,Operable,Wea,Kickapoo,,,,,,,,,,,,,,,,,,,Fort Harrison,IN,06-04-1816,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/kic0131.htm,
V0076,Operable,Ottawa,Chippewa,Potawatomi,,,,,,,,,,,,,,,,,,St Louis,MO,08-24-1816,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/ott0132.htm,
V0077,Operable,Cherokee,,,,,,,,,,,,,,,,,,,,Chickasaw Council House,MS,09-14-1816,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0133.htm,
V0078,Operable,Chickasaw,,,,,,,,,,,,,,,,,,,,Chickasaw Council House,MS,09-20-1816,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0135.htm,
V0079,Operable,Choctaw,,,,,,,,,,,,,,,,,,,,Choctaw Trading House,MS,10-24-1816,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/cho0137.htm,
V0080,Operable,Menominee,,,,,,,,,,,,,,,,,,,,St Louis,MO,03-30-1817,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/men0138.htm,
V0081,Operable,Oto,,,,,,,,,,,,,,,,,,,,St Louis,MO,06-24-1817,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/oto0139.htm,
V0082,Operable,Ponca,,,,,,,,,,,,,,,,,,,,St Louis,MO,06-25-1817,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/pon0140.htm,
V0083,Operable,Cherokee,,,,,,,,,,,,,,,,,,,,Cherokee Agency,TN,07-08-1817,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0140.htm,
V0084,Operable,Wyandot,Seneca,Delaware,Shawnee,Potawatomi,Ottawa,Chippewa,,,,,,,,,,,,,,Rapids of the Maumee River,OH,09-29-1817,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/wya0145.htm,
V0085,Operable,Creek,,,,,,,,,,,,,,,,,,,,"Creek Agency, Flint River",GA,01-22-1818,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/cre0155.htm,
V0086,Operable,Chawi Pawnee,,,,,,,,,,,,,,,,,,,,St Louis,MO,06-18-1818,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/gra0156.htm,
V0087,Operable,Pitahawirata Pawnee,,,,,,,,,,,,,,,,,,,,St Louis,MO,06-19-1818,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/paw0157.htm,
V0088,Operable,Kitkahahki Pawnee,,,,,,,,,,,,,,,,,,,,St Louis,MO,06-20-1818,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/paw0158.htm,
V0089,Operable,Skiri Pawnee,,,,,,,,,,,,,,,,,,,,St Louis,MO,06-22-1818,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/paw0159.htm,
V0090,Operable,Quapaw,,,,,,,,,,,,,,,,,,,,St Louis,MO,08-24-1818,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/qua0160.htm,
V0091,Operable,Wyandot,Seneca,Shawnee,Ottawa,,,,,,,,,,,,,,,,,St Mary's,OH,09-17-1818,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/wya0162.htm,
V0092,Operable,Wyandot,,,,,,,,,,,,,,,,,,,,St Mary's,OH,09-20-1818,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/wya0164.htm,
V0093,Operable,Peoria,Michigamea,Tamoroa,Cahokia,,,,,,,,,,,,,,,,,Edwardsville,IL,09-25-1818,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/peo0165.htm,
V0094,Operable,Osage,,,,,,,,,,,,,,,,,,,,St Louis,MO,09-25-1818,187,http://digital.library.okstate.edu/kappler/Vol2/treaties/osa0167.htm,
V0095,Operable,Potawatomi,,,,,,,,,,,,,,,,,,,,St Mary's,OH,10-02-1818,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0168.htm,
V0096,Operable,Wea,,,,,,,,,,,,,,,,,,,,St Mary's,OH,10-02-1818,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/wea0169.htm,
V0097,Operable,Delaware,,,,,,,,,,,,,,,,,,,,St Mary's,OH,10-03-1818,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/del0170.htm,
V0098,Operable,Miami,,,,,,,,,,,,,,,,,,,,St Mary's,OH,10-06-1818,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/mia0171.htm,
V0099,Operable,Chickasaw,,,,,,,,,,,,,,,,,,,,Treaty ground east of old town,MS,10-19-1818,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0174.htm,
V0100,Operable,Cherokee,,,,,,,,,,,,,,,,,,,,Washington DC,DC,02-27-1819,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0177.htm,
V0101,Operable,Kickapoo,,,,,,,,,,,,,,,,,,,,Edwardsville,IL,07-30-1819,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/kic0182.htm,
V0102,Operable,Kickapoo of the Vermillion,,,,,,,,,,,,,,,,,,,,Fort Harrison,IN,08-30-1819,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/kic0184.htm,
V0103,Operable,Chippewa,,,,,,,,,,,,,,,,,,,,Saginaw,MI,09-24-1819,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0185.htm,
V0104,Operable,Chippewa,,,,,,,,,,,,,,,,,,,,Sault Ste Marie,MI,06-16-1820,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0187.htm,
V0105,Operable,Ottawa,Chippewa,,,,,,,,,,,,,,,,,,,L'Abre Croche and Michilimackinac,MI,07-06-1820,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0188.htm,
V0106,Operable,Kickapoo,,,,,,,,,,,,,,,,,,,,St Louis,MO,07-19-1820,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/kic0189.htm,
V0107,Operable,Wea,,,,,,,,,,,,,,,,,,,,Vincennes,IN,08-11-1820,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/wea0190.htm,
V0108,Operable,Kickapoo of the Vermillion,,,,,,,,,,,,,,,,,,,,Fort Harrison,IN,09-05-1820,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/kic0191.htm,
V0109,Operable,Choctaw,,,,,,,,,,,,,,,,,,,,"Treaty ground, Doak's Stand",MS,10-18-1820,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/cho0191.htm,
V0110,Operable,Creek,,,,,,,,,,,,,,,,,,,,Indian Springs,GA,01-08-1821,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/cre0195.htm,
V0111,Operable,Ottawa,Chippewa,Potawatomi,,,,,,,,,,,,,,,,,,Chicago,IL,08-29-1821,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/ott0198.htm,
V0112,Operable,Osage,,,,,,,,,,,,,,,,,,,,US factory on Marais de Cynges,MO,08-31-1821,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/osa0201.htm,
V0112A,Operable,Florida Tribes,,,,,,,,,,,,,,,,,,,,"Camp on Moultrie Creek, Fla Terr",FL,09-18-1823,188,http://digital.library.okstate.edu/KAPPLER/VOL2/treaties/sem0203.htm,Missed first time round!
V0113,Operable,Sauk,Fox,,,,,,,,,,,,,,,,,,,Washington DC,DC,08-04-1824,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/sau0202.htm,
V0114,Operable,Iowa,,,,,,,,,,,,,,,,,,,,Washington DC,DC,08-04-1824,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/iow0208.htm,
V0115,Operable,Quapaw,,,,,,,,,,,,,,,,,,,,Harrington's,AR,11-15-1824,188,http://digital.library.okstate.edu/kappler/Vol2/treaties/qua0210.htm,
V0116,Operable,Choctaw,,,,,,,,,,,,,,,,,,,,Washington DC,DC,01-20-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/cho0211.htm,
V0117,Operable,Creek,,,,,,,,,,,,,,,,,,,,Indian Springs,MO,02-12-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/cre0214.htm,
V0118,Operable,Osage,,,,,,,,,,,,,,,,,,,,St Louis,MO,06-02-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/osa0217.htm,
V0119,Operable,Kansa,,,,,,,,,,,,,,,,,,,,St Louis,MO,06-03-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/kan0222.htm,
V0120,Operable,Ponca,,,,,,,,,,,,,,,,,,,,"Ponca Village, mouth of White Paint Creek",OH,06-09-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/pon0225.htm,
V0121,Operable,Teton Sioux,Yankton Sioux,Yanktonais Sioux,,,,,,,,,,,,,,,,,,Fort Lookout,MO,06-22-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/sio0227.htm,
